Team,Division,W,L
BAL,AL EAST,101,61
TB,AL EAST,99,63
TOR,AL EAST,89,73
NYY,AL EAST,82,80
BOS,AL EAST,78,84
MIN,AL CENTRAL,87,75
DET,AL CENTRAL,78,84
CLE,AL CENTRAL,76,86
CWS,AL CENTRAL,61,101
KC,AL CENTRAL,56,106
HOU,AL WEST,90,72
TEX,AL WEST,90,72
SEA,AL WEST,88,74
LAA,AL WEST,73,89
OAK,AL WEST,50,112
ATL,NL EAST,104,58
PHI,NL EAST,90,72
MIA,NL EAST,84,78
NYM,NL EAST,75,87
WSH,NL EAST,71,91
MIL,NL CENTRAL,92,70
CHC,NL CENTRAL,83,79
CIN,NL CENTRAL,82,80
PIT,NL CENTRAL,76,86
STC,NL CENTRAL,71,91
LAD,NL WEST,100,62
AZ,NL WEST,84,78
SD,NL WEST,82,80
SF,NL WEST,79,83
COL,NL WEST,59,103
